requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,grid-cnn-matched,baseline1_hdv,5.7355,2.4445,3.291,2.346287584373082,-0.5484999999999999,-0.023995249999999135,0.9673605953517739,-0.07724166666666843,-0.028999999999999998
0.3,0.3,0,0,grid-cnn-matched,baseline2_matched,5.7355,3.656,2.0795,1.5687910284463895,-0.34658333333333324,-0.017280249999998554,0.9762779584513375,-0.05586791666666624,-0.0015
0.3,0.3,0,0,grid-cnn-matched,policy_noop,5.7355,2.526,3.2095000000000002,2.270585906571655,-0.5349166666666666,-0.025418624999998696,0.9654912711238683,-0.0820541666666661,-0.042499999999999996
0.3,0.3,0,0,grid-cnn-matched,left_if_safe,5.7355,5.843,-0.10749999999999993,0.9816019168235496,0.017916666666666692,0.005351374999999159,1.0075818339888092,0.017748333333333477,0.0005
0.3,0.3,0,1,grid-cnn-matched,baseline1_hdv,5.8555,2.5125,3.343,2.330547263681592,-0.5571666666666667,-0.024161124999999783,0.9671159152546096,-0.0777512499999995,-0.0265
0.3,0.3,0,1,grid-cnn-matched,baseline2_matched,5.8555,3.7075,2.148,1.579366149696561,-0.358,-0.019808499999997564,0.9728793161400858,-0.06423833333333206,-0.002
0.3,0.3,0,1,grid-cnn-matched,policy_noop,5.8555,2.572,3.2835,2.276632970451011,-0.5472499999999999,-0.025848624999997738,0.9648997884879131,-0.08342583333332376,-0.049
0.3,0.3,0,1,grid-cnn-matched,left_if_safe,5.8555,4.237,1.6185,1.3819919754543308,-0.26974999999999993,0.07837275000000066,1.123967844151141,0.26259125000000116,-0.215
0.3,0.3,0,2,grid-cnn-matched,baseline1_hdv,4.8745,2.406,2.4685,2.02597672485453,-0.41141666666666665,-0.01117162499999902,0.9843707592439751,-0.035181666666666,-0.089
0.3,0.3,0,2,grid-cnn-matched,baseline2_matched,4.8745,3.4045,1.4700000000000002,1.4317814657071524,-0.245,-0.0111908750000006,0.9843442498820482,-0.036077916666671594,-0.048000000000000015
0.3,0.3,0,2,grid-cnn-matched,policy_noop,4.8745,2.414,2.4605,2.019262634631317,-0.41008333333333324,-0.011262249999998475,0.9842459711367916,-0.035490416666672964,-0.119
0.3,0.3,0,2,grid-cnn-matched,left_if_safe,4.8745,5.1775,-0.30299999999999994,0.9414775470787059,0.05049999999999999,0.001087499999999575,1.0015479746708635,0.003372499999993561,0.075
0.3,0.3,0,3,grid-cnn-matched,baseline1_hdv,5.443,2.4385,3.0044999999999997,2.23210990362928,-0.5007499999999999,-0.02347725000000067,0.9680171240137208,-0.07575375000000184,-0.023
0.3,0.3,0,3,grid-cnn-matched,baseline2_matched,5.443,3.618,1.8249999999999997,1.5044223327805417,-0.3041666666666666,-0.01817187499999895,0.9750643737954584,-0.059052083333337,0.0034999999999999996
0.3,0.3,0,3,grid-cnn-matched,policy_noop,5.443,2.568,2.8749999999999996,2.119548286604361,-0.47916666666666663,-0.02654125000000107,0.9639933545498884,-0.08607500000000856,-0.036
0.3,0.3,0,3,grid-cnn-matched,left_if_safe,5.443,5.8615,-0.41850000000000076,0.9286018937132132,0.0697500000000002,0.00456787499999789,1.0064699702235804,0.014877499999998989,0.0095
0.3,0.3,0,4,grid-cnn-matched,baseline1_hdv,5.8615,2.4535,3.4080000000000004,2.3890360709190954,-0.5680000000000002,-0.02319812499999907,0.9683810971828292,-0.07448708333333043,-0.0365
0.3,0.3,0,4,grid-cnn-matched,baseline2_matched,5.8615,3.666,2.1955000000000005,1.5988816148390619,-0.3659166666666668,-0.017944749999999177,0.9753650209655939,-0.057986250000005235,-0.002
0.3,0.3,0,4,grid-cnn-matched,policy_noop,5.8615,2.5135,3.3480000000000003,2.3320071613288245,-0.5580000000000002,-0.025891499999999734,0.9648391209678395,-0.08351500000000556,-0.04
0.3,0.3,0,4,grid-cnn-matched,left_if_safe,5.8615,5.575,0.2865000000000002,1.051390134529148,-0.04775000000000007,0.004386999999998142,1.0062130548859358,0.014862083333331721,-0.008499999999999999
0.3,0.3,0,5,grid-cnn-matched,baseline1_hdv,4.742,2.4785,2.2635,1.9132539842646763,-0.3772500000000001,-0.03528700000000229,0.9519970643484783,-0.11573708333333776,0.10400000000000001
0.3,0.3,0,5,grid-cnn-matched,baseline2_matched,4.742,3.632,1.1099999999999999,1.3056167400881056,-0.18499999999999994,-0.028338874999999653,0.9610811399119213,-0.09353791666666833,0.126
0.3,0.3,0,5,grid-cnn-matched,policy_noop,4.742,2.4835,2.2585,1.9094020535534528,-0.3764166666666666,-0.036929500000002835,0.9498746765113392,-0.12121624999999536,0.07500000000000001
0.3,0.3,0,5,grid-cnn-matched,left_if_safe,4.742,5.8845,-1.1425,0.8058458662588155,0.19041666666666668,-0.005247000000002777,0.9925580893990142,-0.01844208333333741,0.129
