requested_density,model_preset,comparison_mode,runs,pv_speed_win_rate,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,nongraph_ppo_speed_advantage
0.1,node-mlp-matched,baseline1_hdv,20,1.0,0.667375,0.09954235742161542,0.6223981249999999,0.707975625,-0.11122916666666668,0.016590392903602574,-0.11789166666666669,-0.10360822916666668,-0.0008887874999990774,0.000522978401140231,-0.0011131657812491315,-0.0006728918749988631,0.9980980485573229,0.0011190333876204676,0.9976183722971075,0.998570463780963,-0.0072194374999999585,0.005137696699958646,-0.00946720468750372,-0.005115710937496442,-0.0011250000000000003,0.0010114476337356637,-0.001575,-0.0007000000000000001,True
0.1,node-mlp-matched,baseline2_matched,20,0.5,-0.02837500000000004,0.1116897576937304,-0.07955124999999992,0.01737499999999992,0.0047291666666666845,0.018614959615621728,-0.0025876041666666634,0.013258541666666684,-0.002680406249999914,0.0005144776075553144,-0.0028993399999995557,-0.002469149687499709,0.9942852246119107,0.001095022849807197,0.9938237818641877,0.9947655090848455,-0.026875000000001405,0.005142873646327997,-0.02901655781250018,-0.024714478125003693,5e-05,0.0006468547384317279,-0.00022500000000000002,0.00032500000000000004,False
0.1,node-mlp-matched,left_if_safe,20,0.55,-0.024025000000000053,0.14430609599772715,-0.08777812499999998,0.03540125000000004,0.00400416666666667,0.024051015999621186,-0.005895937499999987,0.014795833333333319,0.0006713812499999722,0.0005702353817362745,0.000428837187499698,0.0009125189062500238,1.0014425054122378,0.0012258212406209717,1.000927913680092,1.0019703208217434,0.006653749999999903,0.005517560960005726,0.004283693749996344,0.008997689062497026,-0.00027499999999999996,0.0007690561542703189,-0.000625,2.5e-05,False
0.1,node-mlp-matched,policy_noop,20,1.0,0.6828249999999999,0.09991500005926085,0.6367493750000001,0.7218249999999999,-0.11380416666666666,0.0166525000098768,-0.120329375,-0.10602062499999997,-0.0008932749999994965,0.00044571456083130354,-0.0010792151562495904,-0.000698380781249391,0.9980881674071804,0.000953912500124351,0.997687233618092,0.9984947907012938,-0.007225687500000699,0.004391026519380844,-0.009058907812501878,-0.005319662500001179,-0.0010250000000000003,0.0010939426522061336,-0.0015,-0.0005749999999999999,True
0.2,node-mlp-matched,baseline1_hdv,20,1.0,0.8219749999999999,0.20811563555667295,0.72844875,0.905500625,-0.13699583333333334,0.034685939259445485,-0.1509339583333333,-0.12136614583333334,-0.0180480187500003,0.00334001776785636,-0.01954725296875048,-0.01670243453125065,0.9770175464398154,0.004225902725210977,0.9750453809341684,0.9787110810604663,-0.08921262500000016,0.016771763026481593,-0.09693774140624954,-0.08257201562499904,0.004849999999999999,0.009730716423021644,0.001075,0.009125,True
0.2,node-mlp-matched,baseline2_matched,20,0.45,-0.018050000000000167,0.2123521095281435,-0.11305375000000002,0.0646762499999998,0.0030083333333333685,0.03539201825469057,-0.010837812500000002,0.018725312500000025,-0.014592875000000172,0.002976355223166781,-0.015894064218749986,-0.013392657968750095,0.9813336129020573,0.0037995162672959408,0.9796337759158122,0.982926520170282,-0.07298693749999943,0.014992259728405939,-0.07967654218750071,-0.06686879843749999,0.007275000000000001,0.008872599749554212,0.003875,0.0114,False
0.2,node-mlp-matched,left_if_safe,20,0.45,0.06792499999999993,0.35918007047484674,-0.08045062500000004,0.22622562499999996,-0.011320833333333318,0.05986334507914113,-0.037817187499999946,0.012858437500000026,-0.00039440000000005583,0.005111455815320617,-0.002448851406249836,0.0018684162500001975,0.9995128650727846,0.006696875987683896,0.9967809160317965,1.0025155074922347,-0.0018870937499995133,0.02569583310881365,-0.012572783593748731,0.009459054687502562,0.0001249999999999996,0.016083560583795852,-0.006900000000000002,0.006775624999999992,False
0.2,node-mlp-matched,policy_noop,20,1.0,0.8002500000000001,0.20034585228128832,0.709825,0.882025,-0.13337499999999997,0.03339097538021472,-0.14699593750000003,-0.1188155208333333,-0.019023000000000085,0.0032601601437392993,-0.02044219953124946,-0.017655847031249856,0.9758049261982457,0.004128787674930527,0.9739955400217009,0.9774890751035507,-0.09411468750000092,0.016382162644132992,-0.10110955703125135,-0.0873471539062504,0.005025,0.008765174811359109,0.00155,0.008975,True
0.3,node-mlp-matched,baseline1_hdv,20,1.0,0.7124,0.18490755869665768,0.6325231250000001,0.792950625,-0.11873333333333336,0.030817926449442933,-0.13210468749999998,-0.10597072916666668,-0.014887118750000117,0.010147524556550653,-0.0194698387500005,-0.010800758281249602,0.9797053762641166,0.013802536798804124,0.9734700108933938,0.9852847364492547,-0.04903006250000017,0.03392275011912595,-0.06457651458333487,-0.03546802968750011,0.018650000000000003,0.08518943287570478,-0.01677562499999999,0.0566,True
0.3,node-mlp-matched,baseline2_matched,20,0.65,0.029350000000000008,0.19365046509517844,-0.05630249999999997,0.10872562499999995,-0.0048916666666666666,0.03227507751586307,-0.01822927083333334,0.009312708333333326,-0.011546975000000325,0.009110448549190376,-0.015870000312500614,-0.008099110781249932,0.9841696143811017,0.012466060492188609,0.9783091094958364,0.9889447721226854,-0.038465458333333834,0.030481956665874835,-0.05287485208333426,-0.026921638541667122,0.04667500000000001,0.07339157326502674,0.016324375000000006,0.07915124999999998,False
0.3,node-mlp-matched,left_if_safe,20,0.55,0.12812499999999993,0.3740598697858547,-0.02912687500000003,0.29107624999999987,-0.021354166666666653,0.06234331163097578,-0.04845093749999995,0.0045835416666666915,0.011113225000000037,0.034104949718098555,-0.001896584999999631,0.02691698390625014,1.0180306973632711,0.05423691419625156,0.9974851348646845,1.043760401692632,0.037150854166667434,0.11394721955007023,-0.006012724479165562,0.09031398281249997,-0.048825,0.13532624079375152,-0.10617812499999997,0.010225000000000005,False
0.3,node-mlp-matched,policy_noop,20,1.0,0.6480499999999999,0.1800556858308007,0.5733437499999999,0.72665125,-0.10800833333333333,0.030009280971800088,-0.12086677083333332,-0.09557072916666672,-0.015360918750000046,0.010668215000250982,-0.020057944999999917,-0.01109497671875019,0.9790932779435014,0.014473737910090167,0.9726075033128567,0.9848582723562673,-0.05066302083333194,0.035646684106266,-0.06639555364583434,-0.036520084374998193,0.0033749999999999987,0.0766401150628188,-0.029300000000000003,0.03612687499999997,True
0.4,node-mlp-matched,baseline1_hdv,20,1.0,0.285575,0.0870541687081881,0.24759937500000004,0.321875625,-0.04759583333333335,0.014509028118031342,-0.053754479166666654,-0.041158125000000025,-0.0027374812499997457,0.006453486715078788,-0.005782719999999375,-0.00029953406249961183,0.9954646676876788,0.010695623875306334,0.9905475671764667,0.9995344308253595,-0.006665218750000035,0.016163900911976607,-0.014228587499998637,-0.00041515859374962645,-0.034374999999999975,0.02205965297718177,-0.04339999999999998,-0.024549999999999985,True
0.4,node-mlp-matched,baseline2_matched,20,0.35,-0.04002499999999998,0.07579186788067771,-0.07357562499999996,-0.010099374999999952,0.00667083333333332,0.012631977980112938,0.0016457291666666688,0.012408645833333327,-0.004893981249999696,0.006488188677481262,-0.007895042499999269,-0.0024135473437496033,0.9919214846818891,0.010721595063513379,0.98701564390192,0.9961020984242225,-0.012259968750000284,0.016246331798433596,-0.019838479687499088,-0.005963451953124847,0.010975000000000004,0.024354009180377154,0.0009750000000000091,0.021425000000000003,False
0.4,node-mlp-matched,left_if_safe,20,0.5,-0.006074999999999986,0.0946568977384833,-0.04724999999999996,0.03347499999999998,0.0010124999999999885,0.015776149623080556,-0.005687604166666655,0.00756687499999999,0.0027376750000003116,0.011968986057202428,-0.002141989999999768,0.008088737656250372,1.00496430394663,0.02073090069022059,0.996626681756563,1.0140228795853188,0.00684039062500077,0.029956981421616853,-0.005376404687499034,0.02006008242187627,-0.001050000000000001,0.031557758242041815,-0.015375000000000005,0.01160062499999999,False
0.4,node-mlp-matched,policy_noop,20,1.0,0.25969999999999993,0.08204562273836623,0.22415000000000002,0.295200625,-0.04328333333333335,0.013674270456394393,-0.04907093750000002,-0.03744156250000002,-0.002457618749999524,0.00660163830399933,-0.005535355156249701,8.946953125014361e-05,0.9959281427735807,0.010942108632665141,0.9908675251406088,1.0001148933531625,-0.005981734374999692,0.016526354075671823,-0.01356320312499942,0.0003441363281238399,-0.044199999999999975,0.025644020540345928,-0.05475062499999998,-0.03292499999999998,True
0.5,node-mlp-matched,baseline1_hdv,20,1.0,0.27859999999999996,0.08257653547180528,0.24054937500000004,0.3126006249999999,-0.04643333333333334,0.01376275591196754,-0.05189999999999999,-0.04005406250000001,0.00021690000000034737,0.004121225889813417,-0.0017116320312499291,0.0017478418750005945,1.0004335010008707,0.008199977143959229,0.9966793603689227,1.0035596881361208,0.0005731000000007535,0.008273619958226114,-0.0033151074999993196,0.0036725075000007316,-0.0435,0.03504696097644148,-0.057850625000000024,-0.02804937499999999,True
0.5,node-mlp-matched,baseline2_matched,20,0.25,-0.03905000000000001,0.0817948171051391,-0.075225625,-0.0058237500000000095,0.006508333333333338,0.013632469517523177,0.0009540625000000068,0.012741666666666646,-0.0010541562499997935,0.0041205022155094495,-0.0029514709374996936,0.0005087425000003558,0.997908890498698,0.008178205750514403,0.9940772911941079,1.0010969453463838,-0.002127837499999824,0.00826705078923617,-0.005972715312499788,0.0011269206249999461,0.06307499999999999,0.038850006773690396,0.047549375000000005,0.07990062499999999,False
0.5,node-mlp-matched,left_if_safe,20,0.7,0.09412499999999997,0.18499942211858533,0.018024375,0.17337687499999996,-0.01568750000000001,0.03083323701976421,-0.02929625,-0.0026581250000000103,0.0107515062500002,0.02081145471539251,0.0024655123437502947,0.020425531093750175,1.0236605021266068,0.04577644806257065,1.005420695372409,1.0440246106736004,0.021550075000000234,0.04170289918595343,0.004852986250000469,0.040359665000000294,-0.03342499999999999,0.06977883765304868,-0.06415062499999998,-0.004224999999999998,True
0.5,node-mlp-matched,policy_noop,20,1.0,0.26189999999999997,0.08168869019186902,0.22474999999999995,0.29494999999999993,-0.04365000000000001,0.013614781698644825,-0.04930010416666667,-0.03754125000000001,0.000287437499999893,0.004145839149173875,-0.00158873687500012,0.001861206093749906,1.000574467106582,0.00825342225485175,0.9967163523849688,1.0037432790687209,0.0007058249999996657,0.00832036781358195,-0.0031056234375003103,0.00390501874999983,-0.056275,0.029974759118473793,-0.06812500000000002,-0.042774999999999994,True
0.6,node-mlp-matched,baseline1_hdv,20,0.95,0.20105,0.08716166165899945,0.162049375,0.235750625,-0.03350833333333333,0.014526943609833242,-0.039270833333333345,-0.026845833333333336,-0.0028469187500000464,0.009797328374784055,-0.00752522249999988,0.0006554373437499554,0.9929164717228799,0.024380131190079847,0.9813049875859822,1.001700068826366,-0.004661093749999684,0.016359824460050125,-0.012452753385416668,0.0012931781250008995,-0.05745,0.05227027433395934,-0.078325625,-0.033349375000000014,True
0.6,node-mlp-matched,baseline2_matched,20,0.05,-0.102025,0.08289411048217826,-0.14032624999999996,-0.06947500000000002,0.017004166666666674,0.013815685080363054,0.011624895833333326,0.023196041666666674,-0.003850062500000076,0.009793010498354645,-0.008743898125000009,-0.00039825218750018864,0.990443521484471,0.02430409844142359,0.9787847303872848,0.999171640885151,-0.006459281250000193,0.01635092114467047,-0.014434856770833773,-0.0006302429687497734,0.12115000000000001,0.048924512207449165,0.1021,0.14307499999999998,False
0.6,node-mlp-matched,left_if_safe,20,0.3,-0.01394999999999999,0.10604950432897389,-0.057824999999999994,0.03207562500000001,0.0023250000000000102,0.017674917388162324,-0.00527093749999999,0.009737812500000007,-0.002378918750000114,0.008156894526890912,-0.0060321085937503,0.0009367932812498737,0.9940523615368733,0.020586650578007695,0.9847415688240411,1.0024144003169468,-0.003970677083333424,0.013624488212642972,-0.009891219010416927,0.001526609114583495,0.00567499999999998,0.06066154487247906,-0.020075625000000014,0.03077499999999997,False
0.6,node-mlp-matched,policy_noop,20,0.95,0.19007499999999997,0.08465662454260371,0.15217437499999997,0.22457687499999995,-0.03167916666666666,0.014109437423767291,-0.03725843749999999,-0.025229166666666664,-0.002908606250000051,0.009809806209547323,-0.007522160781250035,0.0005812931249999882,0.9927647975853681,0.024407988656587352,0.9811156524637252,1.0015932608929405,-0.004768479166666839,0.016378998958311845,-0.012614958593750128,0.0010864302083331166,-0.079775,0.0562974887258935,-0.101925625,-0.054300000000000036,True
