requested_density,effective_density,density_index,run_index,comparison_mode,pv_speed_graph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,baseline1_hdv,5.8535,2.4445,3.4090000000000003,2.3945592145633054,-0.5681666666666666,-0.030038749999999115,0.9591399582677027,-0.09728833333333009,-0.0295
0.3,0.3,0,0,baseline2_matched,5.8535,3.656,2.1975000000000002,1.6010667396061269,-0.36624999999999996,-0.023323749999998533,0.9679815415534712,-0.0759145833333279,-0.002
0.3,0.3,0,0,graph_noop,5.8535,2.526,3.3275000000000006,2.317300079176564,-0.5545833333333333,-0.031462124999998675,0.9572865195701195,-0.10210083333332776,-0.043
0.3,0.3,0,0,left_if_safe,5.8535,5.843,0.010500000000000398,1.0017970220777,-0.0017500000000000293,-0.0006921250000008206,0.9990193965383641,-0.002298333333328184,0.0
0.3,0.3,0,1,baseline1_hdv,5.8925,2.5125,3.38,2.345273631840796,-0.5633333333333334,-0.029824249999999775,0.959408216112962,-0.09659750000000145,-0.0265
0.3,0.3,0,1,baseline2_matched,5.8925,3.7075,2.185,1.5893459204315576,-0.36416666666666664,-0.025471624999997555,0.965125683972875,-0.08308458333333402,-0.002
0.3,0.3,0,1,graph_noop,5.8925,2.572,3.3205,2.29101866251944,-0.5534166666666666,-0.03151174999999773,0.9572097513846086,-0.10227208333332571,-0.049
0.3,0.3,0,1,left_if_safe,5.8925,4.237,1.6555,1.3907245692707104,-0.2759166666666666,0.07270962500000067,1.115010069957835,0.2437449999999992,-0.215
0.3,0.3,0,2,baseline1_hdv,5.291,2.406,2.8850000000000002,2.1990856192851207,-0.48083333333333333,-0.012617749999998651,0.9823476125855165,-0.03965499999999089,-0.1565
0.3,0.3,0,2,baseline2_matched,5.291,3.4045,1.8865000000000003,1.5541195476575123,-0.3144166666666667,-0.012637000000000231,0.982321157707458,-0.040551249999996486,-0.11550000000000002
0.3,0.3,0,2,graph_noop,5.291,2.414,2.8770000000000002,2.191797845898923,-0.4794999999999999,-0.012708374999998107,0.9822230809514552,-0.039963749999997855,-0.1865
0.3,0.3,0,2,left_if_safe,5.291,5.1775,0.11350000000000016,1.0219217769193627,-0.018916666666666693,-0.0003586250000000568,0.9994895242148609,-0.0011008333333313303,0.0075
0.3,0.3,0,3,baseline1_hdv,5.758,2.4385,3.3195,2.361287676850523,-0.55325,-0.026990000000000403,0.9632317318736366,-0.08720041666666489,-0.026000000000000002
0.3,0.3,0,3,baseline2_matched,5.758,3.618,2.14,1.5914870093974571,-0.3566666666666667,-0.02168462499999868,0.9702441435798091,-0.07049875000000005,0.0004999999999999996
0.3,0.3,0,3,graph_noop,5.758,2.568,3.19,2.2422118380062304,-0.5316666666666667,-0.030054000000000802,0.9592278539120185,-0.09752166666667161,-0.039
0.3,0.3,0,3,left_if_safe,5.758,5.8615,-0.10350000000000037,0.9823424038215474,0.0172500000000001,0.0010551249999981582,1.001494486458615,0.0034308333333359364,0.0065
0.3,0.3,0,4,baseline1_hdv,5.8805,2.4535,3.4269999999999996,2.3967801100468717,-0.5711666666666667,-0.02835162499999877,0.961356908130124,-0.09164958333332418,-0.0365
0.3,0.3,0,4,baseline2_matched,5.8805,3.666,2.2144999999999997,1.604064375340971,-0.3690833333333333,-0.023098249999998877,0.9682901737565879,-0.07514874999999899,-0.002
0.3,0.3,0,4,graph_noop,5.8805,2.5135,3.3669999999999995,2.339566341754525,-0.5611666666666667,-0.031044999999999434,0.9578406237740797,-0.10067749999999931,-0.04
0.3,0.3,0,4,left_if_safe,5.8805,5.575,0.30549999999999944,1.0547982062780268,-0.05091666666666661,-0.0007665000000015576,0.9989144502917525,-0.0023004166666620307,-0.008499999999999999
0.3,0.3,0,5,baseline1_hdv,5.876,2.4785,3.3975000000000004,2.3707887835384307,-0.5662500000000001,-0.02850712500000052,0.961220118259279,-0.09219250000000168,-0.025
0.3,0.3,0,5,baseline2_matched,5.876,3.632,2.244,1.61784140969163,-0.374,-0.021558999999997885,0.970392201361599,-0.06999333333333224,-0.003
0.3,0.3,0,5,graph_noop,5.876,2.4835,3.3925000000000005,2.366015703644051,-0.5654166666666667,-0.030149625000001068,0.9590771684916732,-0.09767166666665927,-0.054
0.3,0.3,0,5,left_if_safe,5.876,5.8845,-0.00849999999999973,0.9985555272325601,0.0014166666666666217,0.00153287499999899,1.0021741030517386,0.0051024999999986775,0.0
0.3,0.3,0,6,baseline1_hdv,5.8825,2.4895,3.3930000000000002,2.362924281984334,-0.5655000000000001,-0.02759674999999917,0.9623319603695121,-0.08916166666666481,-0.044
0.3,0.3,0,6,baseline2_matched,5.8825,3.553,2.3295000000000003,1.6556431184914158,-0.3882500000000001,-0.023242125000000446,0.9680860923901414,-0.07553250000000356,-0.0045000000000000005
0.3,0.3,0,6,graph_noop,5.8825,2.4975,3.3850000000000002,2.3553553553553552,-0.5641666666666667,-0.033290624999999685,0.9549105626694508,-0.10814791666666279,-0.052
0.3,0.3,0,6,left_if_safe,5.8825,5.71,0.17250000000000032,1.0302101576182137,-0.028750000000000053,-0.0015232500000016413,0.9978441225980547,-0.004933749999996184,-0.0015
