requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,grid-cnn-matched,baseline1_hdv,5.819,2.4445,3.3745,2.3804458989568418,-0.5624166666666666,-0.022569375000000003,0.9693001338480498,-0.07241916666666626,-0.028999999999999998
0.3,0.3,0,0,grid-cnn-matched,baseline2_matched,5.819,3.656,2.163,1.5916301969365425,-0.36049999999999993,-0.01585437499999942,0.9782353760808962,-0.05104541666666407,-0.0015
0.3,0.3,0,0,grid-cnn-matched,policy_noop,5.819,2.526,3.293,2.3036421219319085,-0.5488333333333333,-0.023992749999999563,0.967427061662744,-0.07723166666666392,-0.042499999999999996
0.3,0.3,0,0,grid-cnn-matched,left_if_safe,5.819,5.843,-0.02400000000000002,0.9958925209652576,0.0040000000000000036,0.006777249999998292,1.0096020152578828,0.02257083333333565,0.0005
0.3,0.3,0,1,grid-cnn-matched,baseline1_hdv,5.603,2.5125,3.0904999999999996,2.2300497512437807,-0.5150833333333333,-0.022444624999998775,0.9694521281364806,-0.07224000000000563,-0.0265
0.3,0.3,0,1,grid-cnn-matched,baseline2_matched,5.603,3.7075,1.8954999999999997,1.5112609575185434,-0.3159166666666666,-0.018091999999996555,0.9752294513772606,-0.058727083333338204,-0.002
0.3,0.3,0,1,grid-cnn-matched,policy_noop,5.603,2.572,3.0309999999999997,2.1784603421461894,-0.5051666666666665,-0.02413212499999673,0.9672306479847156,-0.0779145833333299,-0.049
0.3,0.3,0,1,grid-cnn-matched,left_if_safe,5.603,4.237,1.3659999999999997,1.322397923058768,-0.22766666666666657,0.08008925000000167,1.1266829562849572,0.268102499999995,-0.215
0.3,0.3,0,2,grid-cnn-matched,baseline1_hdv,5.501,2.406,3.095,2.2863674147963424,-0.5158333333333334,-0.006255125000000583,0.9912490032037373,-0.018271249999994854,-0.1825
0.3,0.3,0,2,grid-cnn-matched,baseline2_matched,5.501,3.4045,2.0965000000000003,1.6158026141871054,-0.3494166666666667,-0.006274375000002164,0.991222308608902,-0.019167500000000448,-0.14150000000000001
0.3,0.3,0,2,grid-cnn-matched,policy_noop,5.501,2.414,3.087,2.2787903893951946,-0.5145,-0.006345750000000039,0.9911233431455776,-0.018580000000001817,-0.2125
0.3,0.3,0,2,grid-cnn-matched,left_if_safe,5.501,5.1775,0.3235000000000001,1.062481892805408,-0.053916666666666724,0.006003999999998011,1.0085462436081518,0.020282916666664708,-0.018500000000000003
0.3,0.3,0,3,grid-cnn-matched,baseline1_hdv,5.213,2.4385,2.7745,2.1377896247693253,-0.4624166666666667,-0.02605462500000022,0.9645059859973382,-0.08453666666666404,0.0325
0.3,0.3,0,3,grid-cnn-matched,baseline2_matched,5.213,3.618,1.5950000000000002,1.4408512990602544,-0.26583333333333337,-0.020749249999998498,0.9715276743855779,-0.0678349999999992,0.059000000000000004
0.3,0.3,0,3,grid-cnn-matched,policy_noop,5.213,2.568,2.645,2.0299844236760123,-0.4408333333333334,-0.02911862500000062,0.9604968113269068,-0.09485791666667076,0.019500000000000003
