requested_density,effective_density,density_index,run_index,mode,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.3,0.3,0,12,baseline2_matched,369,0.95,1139,220011,220097,221000,222000,220193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7312132499999997,0.7304369999999998,0.0007762499999999866,2.437377500000005,2.436820683903252,3.105,3.105,0.48250000000000004,0.48250000000000004,0.03651333333333332,0.036534195162635445,0.0115,0.04695958333333333,0.04697956630525438,0.023,6,319.8333333333333,6448,2622,2622,0,2047,1779,"{""369"":{""completed_laps"":6,""distance"":6210.0,""mean_lap_time"":319.8333333333333,""mean_speed"":3.105,""time_loss"":0.48250000000000004}}",0.0,0,,,
0.3,0.3,0,12,graph_ppo,369,0.95,1139,220011,220097,221000,222000,220193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7111159999999991,0.7102973749999997,0.0008186249999999915,2.3703866666666644,2.3696326105087584,3.2745,3.2745,0.45424999999999993,0.45424999999999993,0.15338833333333174,0.15340617180984192,0.132,0.038239583333333334,0.03823519599666389,0.0435,6,303.3333333333333,0,3837,3837,0,0,0,"{""369"":{""completed_laps"":6,""distance"":6549.0,""mean_lap_time"":303.3333333333333,""mean_speed"":3.2745,""time_loss"":0.45424999999999993}}",39.614,138,3837,0,75391
0.3,0.3,0,13,baseline1_hdv,300,0.95,1139,230011,230097,231000,232000,230193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7370419999999996,0.7364301249999987,0.0006118749999999887,2.4568066666666613,2.456814428690572,2.4475,2.4475,0.5920833333333333,0.5920833333333333,0.036657083333333416,0.03665179316096739,0.043,0.04589833333333333,0.045898248540450375,0.046,4,409.5,0,0,0,0,0,0,"{""300"":{""completed_laps"":4,""distance"":4895.0,""mean_lap_time"":409.5,""mean_speed"":2.4475,""time_loss"":0.5920833333333333}}",0.0,0,,,
0.3,0.3,0,13,baseline2_matched,300,0.95,1139,230011,230097,231000,232000,230193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7313103750000008,0.7304976249999989,0.0008127499999999859,2.437701250000003,2.4370229357798157,3.251,3.251,0.4581666666666667,0.4581666666666667,0.03580375000000001,0.03582402001668049,0.0115,0.047338333333333336,0.0473582151793161,0.0235,6,306.3333333333333,6795,2598,2598,0,2269,1928,"{""300"":{""completed_laps"":6,""distance"":6502.0,""mean_lap_time"":306.3333333333333,""mean_speed"":3.251,""time_loss"":0.4581666666666667}}",0.0,0,,,
0.3,0.3,0,13,graph_ppo,300,0.95,1139,230011,230097,231000,232000,230193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7155963750000002,0.7147399999999997,0.0008563749999999907,2.3853212499999996,2.3844537114261883,3.4255,3.4255,0.42908333333333337,0.42908333333333337,0.1082483333333335,0.10826772310258567,0.085,0.04193541666666667,0.041925771476230195,0.0535,6,294.6666666666667,0,4331,4331,0,0,0,"{""300"":{""completed_laps"":6,""distance"":6851.0,""mean_lap_time"":294.6666666666667,""mean_speed"":3.4255,""time_loss"":0.42908333333333337}}",36.545,137,4331,0,68759
0.3,0.3,0,14,baseline1_hdv,963,0.95,1139,240011,240097,241000,242000,240193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7312657499999997,0.7306507499999996,0.0006149999999999888,2.437552500000002,2.4375337781484574,2.46,2.46,0.5900000000000001,0.5900000000000001,0.0667541666666666,0.06675938281901576,0.0605,0.04356583333333333,0.043561718098415345,0.0485,4,404.0,0,0,0,0,0,0,"{""963"":{""completed_laps"":4,""distance"":4920.0,""mean_lap_time"":404.0,""mean_speed"":2.46,""time_loss"":0.5900000000000001}}",0.0,0,,,
0.3,0.3,0,14,baseline2_matched,963,0.95,1139,240011,240097,241000,242000,240193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7308403749999994,0.7300363749999993,0.0008039999999999868,2.4361345833333328,2.435484153461223,3.216,3.216,0.46399999999999997,0.46399999999999997,0.03970750000000013,0.03973311092577131,0.009,0.04693208333333333,0.04695162635529608,0.0235,6,309.6666666666667,6429,2561,2561,0,1971,1897,"{""963"":{""completed_laps"":6,""distance"":6432.0,""mean_lap_time"":309.6666666666667,""mean_speed"":3.216,""time_loss"":0.46399999999999997}}",0.0,0,,,
0.3,0.3,0,14,graph_ppo,963,0.95,1139,240011,240097,241000,242000,240193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7211821250000001,0.7202906250000005,0.0008914999999999878,2.403940416666665,2.4029712260216862,3.566,3.566,0.40566666666666673,0.40566666666666673,0.06403916666666673,0.06406296914095075,0.0355,0.04516083333333333,0.045157631359466224,0.049,7,281.85714285714283,0,4789,4789,0,0,0,"{""963"":{""completed_laps"":7,""distance"":7132.0,""mean_lap_time"":281.85714285714283,""mean_speed"":3.566,""time_loss"":0.40566666666666673}}",31.2765,99,4789,0,57764
0.3,0.3,0,15,baseline1_hdv,406,0.95,1139,250011,250097,251000,252000,250193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7180758749999995,0.7174522500000006,0.0006236249999999901,2.3935862500000002,2.393502085070892,2.4945,2.4945,0.5842499999999999,0.5842499999999999,0.18520250000000002,0.1852155963302749,0.1695,0.034840416666666665,0.034831109257714765,0.046,4,409.5,0,0,0,0,0,0,"{""406"":{""completed_laps"":4,""distance"":4989.0,""mean_lap_time"":409.5,""mean_speed"":2.4945,""time_loss"":0.5842499999999999}}",0.0,0,,,
0.3,0.3,0,15,baseline2_matched,406,0.95,1139,250011,250097,251000,252000,250193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7219110000000016,0.72112025,0.0007907499999999901,2.4063699999999955,2.4057389491242684,3.163,3.163,0.4728333333333333,0.4728333333333333,0.13072833333333286,0.1307431192660551,0.113,0.04045208333333333,0.040472477064220184,0.016,6,311.5,11116,2482,2482,0,7071,1563,"{""406"":{""completed_laps"":6,""distance"":6326.0,""mean_lap_time"":311.5,""mean_speed"":3.163,""time_loss"":0.4728333333333333}}",0.0,0,,,
0.3,0.3,0,15,graph_ppo,406,0.95,1139,250011,250097,251000,252000,250193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7142407500000021,0.7133888749999996,0.0008518749999999917,2.380802500000003,2.3799462051709783,3.4075,3.4075,0.43208333333333326,0.43208333333333326,0.12293708333333321,0.12295287739783152,0.104,0.04078375,0.04078440366972477,0.04,6,288.5,0,4124,4124,0,0,0,"{""406"":{""completed_laps"":6,""distance"":6815.0,""mean_lap_time"":288.5,""mean_speed"":3.4075,""time_loss"":0.43208333333333326}}",36.5655,129,4124,0,69007
0.3,0.3,0,16,baseline1_hdv,79,0.95,1139,260011,260097,261000,262000,260193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7328630000000007,0.7322449999999997,0.000617999999999987,2.4428766666666717,2.442852376980817,2.472,2.472,0.5880000000000001,0.5880000000000001,0.051803333333333305,0.05180150125104242,0.054,0.0445625,0.04456672226855713,0.0395,4,410.25,0,0,0,0,0,0,"{""79"":{""completed_laps"":4,""distance"":4944.0,""mean_lap_time"":410.25,""mean_speed"":2.472,""time_loss"":0.5880000000000001}}",0.0,0,,,
0.3,0.3,0,16,baseline2_matched,79,0.95,1139,260011,260097,261000,262000,260193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7337177499999987,0.7329193750000007,0.0007983749999999869,2.4457258333333325,2.445102168473731,3.1935,3.1935,0.46775,0.46775,0.039073333333333404,0.03909799833194312,0.0095,0.046535,0.046552543786488744,0.0255,6,310.0,6754,2799,2799,0,1941,2014,"{""79"":{""completed_laps"":6,""distance"":6387.0,""mean_lap_time"":310.0,""mean_speed"":3.1935,""time_loss"":0.46775}}",0.0,0,,,
0.3,0.3,0,16,graph_ppo,79,0.95,1139,260011,260097,261000,262000,260193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7237802500000001,0.7229345000000008,0.0008457499999999863,2.41260083333333,2.411791492910757,3.383,3.383,0.4361666666666667,0.4361666666666667,0.04504708333333343,0.04506255212677198,0.0265,0.046455416666666666,0.04645412844036697,0.048,6,295.6666666666667,0,4433,4433,0,0,0,"{""79"":{""completed_laps"":6,""distance"":6766.0,""mean_lap_time"":295.6666666666667,""mean_speed"":3.383,""time_loss"":0.4361666666666667}}",28.312,52,4433,0,52191
0.3,0.3,0,17,baseline1_hdv,175,0.95,1139,270011,270097,271000,272000,270193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7359204999999988,0.7353221249999988,0.0005983749999999877,2.453068333333333,2.4531180150125103,2.3935,2.3935,0.6010833333333334,0.6010833333333334,0.03365583333333328,0.03365429524603828,0.0355,0.04575,0.04575145954962469,0.044,4,422.25,0,0,0,0,0,0,"{""175"":{""completed_laps"":4,""distance"":4787.0,""mean_lap_time"":422.25,""mean_speed"":2.3935,""time_loss"":0.6010833333333334}}",0.0,0,,,
0.3,0.3,0,17,baseline2_matched,175,0.95,1139,270011,270097,271000,272000,270193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7320342500000019,0.7311946250000013,0.0008396249999999885,2.440114166666668,2.43934820683903,3.3585,3.3585,0.44025000000000003,0.44025000000000003,0.03732458333333336,0.037347372810675405,0.01,0.04727041666666667,0.047292326939115926,0.021,6,297.6666666666667,6987,2656,2656,0,2309,2022,"{""175"":{""completed_laps"":6,""distance"":6717.0,""mean_lap_time"":297.6666666666667,""mean_speed"":3.3585,""time_loss"":0.44025000000000003}}",0.0,0,,,
0.3,0.3,0,17,graph_ppo,175,0.95,1139,270011,270097,271000,272000,270193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7098206249999999,0.7090515,0.0007691249999999901,2.3660687500000046,2.3654762301918333,3.0765,3.0765,0.48725000000000007,0.48725000000000007,0.15073375000000047,0.15071809841534597,0.1695,0.038219583333333335,0.03822143452877398,0.036,6,313.0,0,3848,3848,0,0,0,"{""175"":{""completed_laps"":6,""distance"":6153.0,""mean_lap_time"":313.0,""mean_speed"":3.0765,""time_loss"":0.48725000000000007}}",40.709,126,3848,0,77570
0.3,0.3,0,18,baseline1_hdv,511,0.95,1139,280011,280097,281000,282000,280193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7350068750000015,0.7344072499999986,0.0005996249999999896,2.4500229166666663,2.450065888240196,2.3985,2.3985,0.60025,0.60025,0.03566624999999995,0.035662635529607835,0.04,0.045789583333333335,0.045790241868223516,0.045,4,412.25,0,0,0,0,0,0,"{""511"":{""completed_laps"":4,""distance"":4797.0,""mean_lap_time"":412.25,""mean_speed"":2.3985,""time_loss"":0.60025}}",0.0,0,,,
0.3,0.3,0,18,baseline2_matched,511,0.95,1139,280011,280097,281000,282000,280193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7310823750000001,0.7302825000000003,0.0007998749999999865,2.436941249999999,2.4363052543786496,3.1995,3.1995,0.46675,0.46675,0.036596250000000004,0.036616346955796346,0.0125,0.047460416666666665,0.0474791492910759,0.025,6,312.6666666666667,6745,2699,2699,0,2108,1938,"{""511"":{""completed_laps"":6,""distance"":6399.0,""mean_lap_time"":312.6666666666667,""mean_speed"":3.1995,""time_loss"":0.46675}}",0.0,0,,,
0.3,0.3,0,18,graph_ppo,511,0.95,1139,280011,280097,281000,282000,280193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7102993750000005,0.7094647499999985,0.0008346249999999899,2.367664583333333,2.366854879065889,3.3385,3.3385,0.44358333333333333,0.44358333333333333,0.15743375000000162,0.15744328607172664,0.146,0.03806,0.03805504587155963,0.044,6,300.6666666666667,0,4120,4120,0,0,0,"{""511"":{""completed_laps"":6,""distance"":6677.0,""mean_lap_time"":300.6666666666667,""mean_speed"":3.3385,""time_loss"":0.44358333333333333}}",40.749,125,4120,0,77378
0.3,0.3,0,19,baseline1_hdv,1010,0.95,1139,290011,290097,291000,292000,290193,optimized,optimized,optimized,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7357304999999992,0.7351301249999994,0.0006003749999999896,2.452434999999994,2.45247748123436,2.4015,2.4015,0.59975,0.59975,0.03262416666666666,0.03262176814011673,0.0355,0.04615958333333333,0.04615679733110926,0.0495,4,414.75,0,0,0,0,0,0,"{""1010"":{""completed_laps"":4,""distance"":4803.0,""mean_lap_time"":414.75,""mean_speed"":2.4015,""time_loss"":0.59975}}",0.0,0,,,
0.3,0.3,0,19,baseline2_matched,1010,0.95,1139,290011,290097,291000,292000,290193,optimized,optimized,optimized;optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7317147500000003,0.7308926249999994,0.0008221249999999874,2.4390491666666696,2.4383407005838205,3.2885,3.2885,0.45191666666666663,0.45191666666666663,0.03774666666666675,0.03777147623019164,0.008,0.04715125,0.04716930775646372,0.0255,6,303.5,7060,2688,2688,0,2258,2114,"{""1010"":{""completed_laps"":6,""distance"":6577.0,""mean_lap_time"":303.5,""mean_speed"":3.2885,""time_loss"":0.45191666666666663}}",0.0,0,,,
0.3,0.3,0,19,graph_ppo,1010,0.95,1139,290011,290097,291000,292000,290193,optimized,optimized,optimized+optimized-override,4,1000,1000,2000,2000,1200,1,0.30000000000000016,0.7236888749999999,0.7227835000000014,0.000905374999999985,2.412296250000001,2.41128773978315,3.6215,3.6215,0.39641666666666664,0.39641666666666664,0.04559708333333349,0.04562593828190131,0.011,0.046560833333333336,0.046554211843202666,0.0545,7,277.42857142857144,0,4819,4819,0,0,0,"{""1010"":{""completed_laps"":7,""distance"":7243.0,""mean_lap_time"":277.42857142857144,""mean_speed"":3.6215,""time_loss"":0.39641666666666664}}",29.8415,54,4819,0,54864
