requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,node-mlp-matched,baseline1_hdv,5.6875,2.4445,3.243,2.326651667007568,-0.5404999999999999,-0.026783374999998277,0.9635680639097256,-0.08657541666666813,-0.0305
0.3,0.3,0,0,node-mlp-matched,baseline2_matched,5.6875,3.656,2.0315,1.5556619256017505,-0.33858333333333324,-0.020068374999997696,0.9724504665404652,-0.06520166666666594,-0.003
0.3,0.3,0,0,node-mlp-matched,policy_noop,5.6875,2.526,3.1615,2.251583531274743,-0.5269166666666666,-0.028206749999997838,0.9617060683563017,-0.09138791666666579,-0.044
0.3,0.3,0,0,node-mlp-matched,left_if_safe,5.6875,5.843,-0.15549999999999997,0.9733869587540647,0.0259166666666667,0.002563250000000017,1.0036316154206757,0.00841458333333378,-0.001
0.3,0.3,0,1,node-mlp-matched,baseline1_hdv,5.902,2.5125,3.3895,2.349054726368159,-0.5649166666666667,-0.024950250000000618,0.9660418902092223,-0.0803429166666727,-0.0265
0.3,0.3,0,1,node-mlp-matched,baseline2_matched,5.902,3.7075,2.1945,1.5919082939986513,-0.36575,-0.0205976249999984,0.9717988905828261,-0.06683000000000527,-0.002
0.3,0.3,0,1,node-mlp-matched,policy_noop,5.902,2.572,3.33,2.2947122861586315,-0.5549999999999999,-0.026637749999998572,0.9638282245494247,-0.08601749999999697,-0.049
0.3,0.3,0,1,node-mlp-matched,left_if_safe,5.902,4.237,1.665,1.392966721737078,-0.27749999999999997,0.07758362499999982,1.122719628093699,0.25999958333332795,-0.215
0.3,0.3,0,2,node-mlp-matched,baseline1_hdv,4.998,2.406,2.592,2.0773067331670823,-0.43200000000000005,-0.012462999999999225,0.9825641097385257,-0.03938333333333377,-0.09599999999999999
0.3,0.3,0,2,node-mlp-matched,baseline2_matched,4.998,3.4045,1.5935000000000001,1.4680569834043178,-0.2655833333333334,-0.012482250000000805,0.9825376490301423,-0.040279583333339364,-0.05500000000000001
