requested_density,effective_density,density_index,run_index,priority_scenario,treatment_mode,controller_fraction,priority_speed_delta,worst_priority_speed_delta,priority_time_loss_delta,background_flow_ratio,background_flow_loss,priority_lap_time_delta
0.05,0.05,0,0,one,baseline2_all_hdv_yield,1.0,0.6924999999999999,0.6924999999999999,-0.11541666666666672,0.9759537235126116,0.02404627648738844,-21.372727272727275
0.05,0.05,0,0,one,baseline2_matched_0.050,0.05,0.012500000000000178,0.012500000000000178,-0.002083333333333437,0.9998305608837006,0.000169439116299408,-0.799999999999983
0.05,0.05,0,0,one,baseline2_matched_0.200,0.2,0.14900000000000002,0.14900000000000002,-0.024833333333333374,0.9990054879167992,0.0009945120832007825,-6.299999999999983
0.05,0.05,0,0,one,baseline2_matched_0.350,0.35,0.09100000000000019,0.09100000000000019,-0.015166666666666773,0.9995701173755615,0.00042988262443854897,-3.0999999999999943
0.05,0.05,0,0,one,baseline2_matched_0.500,0.5,0.38450000000000006,0.38450000000000006,-0.06408333333333338,0.9980642712232938,0.0019357287767062248,-12.554545454545462
0.05,0.05,0,0,one,baseline2_matched_0.650,0.65,0.3014999999999999,0.3014999999999999,-0.05025000000000002,0.9965111631216336,0.0034888368783664303,-9.918181818181807
0.05,0.05,0,0,one,baseline2_matched_0.800,0.8,0.5274999999999999,0.5274999999999999,-0.08791666666666664,0.9956232418178274,0.0043767581821726464,-16.645454545454527
0.05,0.05,0,0,one,baseline2_matched_0.950,0.95,0.6630000000000003,0.6630000000000003,-0.11050000000000004,0.9798493148274764,0.020150685172523608,-20.645454545454527
0.05,0.05,0,0,two-2g,baseline2_all_hdv_yield,1.0,0.43124999999999947,0.5280000000000005,-0.07187500000000008,0.9768886525406886,0.023111347459311427,-13.41125541125541
0.05,0.05,0,0,two-2g,baseline2_matched_0.050,0.05,-0.013250000000000206,-0.01100000000000012,0.0022083333333332567,0.9996264373190682,0.0003735626809318049,0.7142857142857224
0.05,0.05,0,0,two-2g,baseline2_matched_0.200,0.2,-0.0045000000000001705,-0.04049999999999976,0.0007499999999999729,0.999478832037833,0.0005211679621669463,-0.1428571428571388
0.05,0.05,0,0,two-2g,baseline2_matched_0.350,0.35,0.17149999999999999,0.2629999999999999,-0.02858333333333335,0.996274988638949,0.003725011361050967,-5.547619047619037
0.05,0.05,0,0,two-2g,baseline2_matched_0.500,0.5,0.25,0.3380000000000001,-0.041666666666666685,0.9968532778229645,0.003146722177035488,-7.956709956709943
0.05,0.05,0,0,two-2g,baseline2_matched_0.650,0.65,0.31325000000000003,0.4139999999999997,-0.05220833333333336,0.9936772367886672,0.006322763211332849,-10.41125541125541
0.05,0.05,0,0,two-2g,baseline2_matched_0.800,0.8,0.4159999999999995,0.5120000000000005,-0.06933333333333341,0.994133701065928,0.0058662989340719784,-12.956709956709943
0.05,0.05,0,0,two-2g,baseline2_matched_0.950,0.95,0.4739999999999993,0.5760000000000005,-0.07900000000000007,0.9899830607774728,0.010016939222527221,-14.36580086580085
0.05,0.05,0,0,two-g,baseline2_all_hdv_yield,1.0,0.6172500000000003,0.681,-0.1028750000000001,0.9755230618233187,0.024476938176681284,-18.24545454545452
0.05,0.05,0,0,two-g,baseline2_matched_0.050,0.05,0.18900000000000006,0.24900000000000055,-0.031500000000000083,0.9999813002681661,1.8699731833882183e-05,-5.563636363636363
0.05,0.05,0,0,two-g,baseline2_matched_0.200,0.2,0.1070000000000002,0.04750000000000032,-0.017833333333333423,0.9991873197623918,0.0008126802376081654,-3.0095238095237846
0.05,0.05,0,0,two-g,baseline2_matched_0.350,0.35,0.05325000000000024,0.11450000000000049,-0.008875000000000077,0.9991211126037258,0.000878887396274175,-2.3499999999999943
0.05,0.05,0,0,two-g,baseline2_matched_0.500,0.5,0.28250000000000064,0.30350000000000055,-0.047083333333333366,0.9976008749452829,0.002399125054717066,-8.609090909090895
