requested_density,effective_density,density_index,run_index,mode,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.3,0.3,0,0,baseline1_hdv,113,1.0,119,100011,100097,101000,102000,100193,reference,reference,reference,4,100,5,32,32,120,1,0.30000000000000004,0.7610937499999998,0.7559374999999999,0.005156250000000001,2.5369791666666663,2.540966386554622,2.0625,2.0625,0.65625,0.65625,0.0328125,0.032563025210084036,0.0625,0.041666666666666664,0.041754201680672266,0.03125,0,,0,0,0,0,0,0,"{""113"":{""completed_laps"":0,""distance"":66.0,""mean_lap_time"":null,""mean_speed"":2.0625,""time_loss"":0.65625}}",0.0,0,,,
0.3,0.3,0,0,baseline2_matched,113,1.0,119,100011,100097,101000,102000,100193,reference,reference,reference;reference+reference-override,4,100,5,32,32,120,1,0.30000000000000004,0.675390625,0.6674999999999999,0.007890625000000004,2.2513020833333335,2.2436974789915967,3.15625,3.15625,0.47395833333333337,0.47395833333333337,0.07083333333333333,0.07142857142857142,0.0,0.07864583333333333,0.07904411764705882,0.03125,1,32.0,139,88,88,0,50,1,"{""113"":{""completed_laps"":1,""distance"":101.0,""mean_lap_time"":32.0,""mean_speed"":3.15625,""time_loss"":0.47395833333333337}}",0.0,0,,,
0.3,0.3,0,0,graph_noop,113,1.0,119,100011,100097,101000,102000,100193,reference,reference,reference+reference-override,4,100,5,32,32,120,1,0.30000000000000004,0.7694531249999998,0.7636718749999999,0.0057812500000000025,2.5648437499999996,2.5669642857142856,2.3125,2.3125,0.6145833333333333,0.6145833333333333,0.011979166666666667,0.012079831932773111,0.0,0.02734375,0.02652310924369748,0.125,0,,0,0,0,0,0,0,"{""113"":{""completed_laps"":0,""distance"":74.0,""mean_lap_time"":null,""mean_speed"":2.3125,""time_loss"":0.6145833333333333}}",50.59375,56,0,0,1619
0.3,0.3,0,0,left_if_safe,113,1.0,119,100011,100097,101000,102000,100193,reference,reference,reference+reference-override,4,100,5,32,32,120,1,0.30000000000000004,0.5167968750000002,0.506640625,0.010156250000000006,1.7226562500000002,1.7029936974789917,4.0625,4.0625,0.32291666666666663,0.32291666666666663,0.26927083333333335,0.27100840336134446,0.0625,0.06901041666666667,0.06959033613445378,0.0,1,27.0,0,154,154,0,0,0,"{""113"":{""completed_laps"":1,""distance"":130.0,""mean_lap_time"":27.0,""mean_speed"":4.0625,""time_loss"":0.32291666666666663}}",43.96875,59,154,0,1253
0.3,0.3,0,0,graph_ppo,113,1.0,119,100011,100097,101000,102000,100193,reference,reference,reference+reference-override,4,100,5,32,32,120,1,0.30000000000000004,0.5473437500000001,0.5378124999999998,0.009531250000000005,1.8244791666666667,1.807773109243697,3.8125,3.8125,0.36458333333333337,0.36458333333333337,0.22552083333333334,0.226890756302521,0.0625,0.08828125,0.08902310924369748,0.0,1,29.0,0,245,229,16,0,0,"{""113"":{""completed_laps"":1,""distance"":122.0,""mean_lap_time"":29.0,""mean_speed"":3.8125,""time_loss"":0.36458333333333337}}",45.3125,58,188,57,1205
