requested_density,effective_density,density_index,run_index,model_preset,comparison_mode,pv_speed_nongraph_ppo,pv_speed_comparison,pv_speed_delta,pv_speed_ratio,priority_time_loss_delta,background_flow_delta,background_flow_ratio,all_speed_delta,priority_stopped_delta
0.3,0.3,0,0,grid-cnn-matched,baseline1_hdv,5.684,2.4445,3.2395,2.3252198813663325,-0.5399166666666666,-0.029005124999997967,0.9605459408946626,-0.09398416666667275,-0.027
0.3,0.3,0,0,grid-cnn-matched,baseline2_matched,5.684,3.656,2.028,1.5547045951859957,-0.33799999999999997,-0.022290124999997385,0.9694004848671249,-0.07261041666667056,0.0005
0.3,0.3,0,0,grid-cnn-matched,policy_noop,5.684,2.526,3.1580000000000004,2.250197941409343,-0.5263333333333333,-0.030428499999997527,0.9586897852811731,-0.09879666666667042,-0.040499999999999994
0.3,0.3,0,0,grid-cnn-matched,left_if_safe,5.684,5.843,-0.1589999999999998,0.9727879513948314,0.026499999999999968,0.00034150000000032765,1.0004838375757972,0.0010058333333291536,0.0025
0.3,0.3,0,1,grid-cnn-matched,baseline1_hdv,5.849,2.5125,3.3365,2.327960199004975,-0.5560833333333334,-0.02813287500000161,0.9617102330445484,-0.09099583333333783,-0.0265
0.3,0.3,0,1,grid-cnn-matched,baseline2_matched,5.849,3.7075,2.1415,1.5776129467296023,-0.35691666666666666,-0.023780249999999392,0.9674414194734692,-0.0774829166666704,-0.002
0.3,0.3,0,1,grid-cnn-matched,policy_noop,5.849,2.572,3.277,2.2741057542768273,-0.5461666666666666,-0.029820374999999566,0.9595064932904622,-0.0966704166666621,-0.049
0.3,0.3,0,1,grid-cnn-matched,left_if_safe,5.849,4.237,1.612,1.380457871135237,-0.2686666666666666,0.07440099999999883,1.1176854400628893,0.24934666666666283,-0.215
0.3,0.3,0,2,grid-cnn-matched,baseline1_hdv,5.2185,2.406,2.8124999999999996,2.168952618453865,-0.4687499999999999,-0.0156487500000021,0.9781072063123405,-0.04981874999999203,-0.1545
0.3,0.3,0,2,grid-cnn-matched,baseline2_matched,5.2185,3.4045,1.8139999999999996,1.5328242032603905,-0.30233333333333323,-0.01566800000000368,0.9780808656295317,-0.05071499999999762,-0.11350000000000002
0.3,0.3,0,2,grid-cnn-matched,policy_noop,5.2185,2.414,2.8044999999999995,2.161764705882353,-0.4674166666666665,-0.015739375000001554,0.9779832122321099,-0.05012749999999899,-0.1845
0.3,0.3,0,2,grid-cnn-matched,left_if_safe,5.2185,5.1775,0.04099999999999948,1.007918879768228,-0.006833333333333247,-0.0033896250000035044,0.9951751230862224,-0.011264583333332467,0.009500000000000001
0.3,0.3,0,3,grid-cnn-matched,baseline1_hdv,5.678,2.4385,3.2395,2.3284806233340167,-0.5399166666666667,-0.027070999999999068,0.9631213862004916,-0.0875370833333351,-0.019000000000000003
0.3,0.3,0,3,grid-cnn-matched,baseline2_matched,5.678,3.618,2.06,1.5693753454947486,-0.3433333333333334,-0.021765624999997346,0.9701329945804608,-0.07083541666667026,0.0075
0.3,0.3,0,3,grid-cnn-matched,policy_noop,5.678,2.568,3.11,2.2110591900311527,-0.5183333333333334,-0.030134999999999468,0.9591179669141788,-0.09785833333334182,-0.032
0.3,0.3,0,3,grid-cnn-matched,left_if_safe,5.678,5.8615,-0.18350000000000044,0.9686940203019704,0.030583333333333407,0.0009741249999994928,1.001379757489871,0.003094166666665732,0.0135
0.3,0.3,0,4,grid-cnn-matched,baseline1_hdv,5.806,2.4535,3.3525,2.366415325045853,-0.5587500000000001,-0.02627962499999914,0.9641810314865231,-0.08480499999999713,-0.0365
0.3,0.3,0,4,grid-cnn-matched,baseline2_matched,5.806,3.666,2.14,1.5837424986361157,-0.3566666666666667,-0.021026249999999247,0.9711346645719674,-0.06830416666667194,-0.002
