requested_density,effective_density_mean,mode,runs,av_fraction,flow_all_mean,flow_all_std,flow_all_sem,flow_all_ci95_low,flow_all_ci95_high,flow_background_mean,flow_background_std,flow_background_sem,flow_background_ci95_low,flow_background_ci95_high,mean_speed_all_mean,mean_speed_all_std,mean_speed_all_sem,mean_speed_all_ci95_low,mean_speed_all_ci95_high,mean_speed_background_mean,mean_speed_background_std,mean_speed_background_sem,mean_speed_background_ci95_low,mean_speed_background_ci95_high,mean_speed_priority_mean,mean_speed_priority_std,mean_speed_priority_sem,mean_speed_priority_ci95_low,mean_speed_priority_ci95_high,mean_priority_time_loss_mean,mean_priority_time_loss_std,mean_priority_time_loss_sem,mean_priority_time_loss_ci95_low,mean_priority_time_loss_ci95_high,stopped_fraction_all_mean,stopped_fraction_all_std,stopped_fraction_all_sem,stopped_fraction_all_ci95_low,stopped_fraction_all_ci95_high,stopped_fraction_priority_mean,stopped_fraction_priority_std,stopped_fraction_priority_sem,stopped_fraction_priority_ci95_low,stopped_fraction_priority_ci95_high,lane_change_rate_all_mean,lane_change_rate_all_std,lane_change_rate_all_sem,lane_change_rate_all_ci95_low,lane_change_rate_all_ci95_high,rule_requests_mean,rule_requests_std,rule_requests_sem,rule_requests_ci95_low,rule_requests_ci95_high,rule_applied_mean,rule_applied_std,rule_applied_sem,rule_applied_ci95_low,rule_applied_ci95_high,rule_rejected_mean,rule_rejected_std,rule_rejected_sem,rule_rejected_ci95_low,rule_rejected_ci95_high,active_av_count_mean_mean,active_av_count_mean_std,active_av_count_mean_sem,active_av_count_mean_ci95_low,active_av_count_mean_ci95_high
0.05,0.05,baseline1_hdv,20,0.95,0.24990961875000078,4.559494278438862e-05,1.0195339149610649e-05,0.24988963588526755,0.24992960161473401,0.2485784187499899,3.321031156702611e-05,7.426051421781793e-06,0.24856386368920322,0.24859297381077658,4.998192374999992,0.0009118988556997079,0.00020390678299488183,4.997792717705322,4.998592032294662,4.996551130653262,0.0006675439511059989,0.00014926736526418093,4.996258566617344,4.996843694689179,5.3248,0.12739860777558717,0.02848719472250462,5.268965098343891,5.380634901656109,0.11253333333333335,0.021233101295931183,0.004747865787084101,0.1032275163906485,0.12183915027601819,1.6e-05,8.637433829436537e-06,1.931388919377642e-06,1.2214477718019821e-05,1.9785522281980178e-05,0.003175,0.0017492479587104372,0.0003911437345179283,0.0024083582803448604,0.003941641719655139,0.00014,5.5280385785842514e-05,1.2361070043955698e-05,0.00011577230271384682,0.00016422769728615316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05,baseline2_matched,20,0.95,0.24671837500000052,0.0017604790433772234,0.0003936550813955272,0.24594681104046529,0.24748993895953575,0.24525658750000057,0.0017887905122943078,0.00039998571829967457,0.2444726154921332,0.24604055950786793,4.9343674999999925,0.0352095808675367,0.007873101627908807,4.918936220809291,4.949798779190694,4.9297806532663255,0.03595558818682871,0.008039913935673739,4.914022421952405,4.945538884580246,5.84715,0.20209703896369868,0.04519027171742539,5.758577067433846,5.935722932566154,0.025474999999999998,0.03368283982728312,0.007531711952904234,0.0107128445723077,0.040237155427692295,5e-06,8.151525527228179e-06,1.8227365199207019e-06,1.4274364209554249e-06,8.572563579044576e-06,0.0008500000000000001,0.0015819707895366995,0.0003537394223823073,0.00015667073213067773,0.0015433292678693224,0.00031225,8.082591754733391e-05,1.807322459796317e-05,0.00027682647978799214,0.0003476735202120078,97.3,25.024409136512674,5.595627992600915,86.33256913450221,108.26743086549779,97.3,25.024409136512674,5.595627992600915,86.33256913450221,108.26743086549779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.05,graph_ppo,20,0.95,0.24051308124999976,0.000876730790346854,0.00019604296451826818,0.24012883703954396,0.24089732546045556,0.23903532499999963,0.0008983606647009868,0.00020087955145833023,0.2386416010791413,0.23942904892085795,4.810261625000001,0.01753461580693445,0.003920859290364775,4.802576740790886,4.817946509209116,4.804730150753777,0.018057500797997453,0.0040377799288079,4.796816102093313,4.81264419941424,5.911025,0.09886027819737887,0.022105830232387953,5.86769757274452,5.954352427255481,0.014829166666666654,0.016476713032896478,0.003684305038731325,0.007607928790753256,0.022050404542580053,6.925000000000002e-05,1.541316935200819e-05,3.4464894419806694e-06,6.24948806937179e-05,7.600511930628213e-05,0.000175,0.0005683540408842658,0.0001270878270703913,-7.409214105796692e-05,0.0004240921410579669,0.001454375,0.00011095836997910996,2.4811045794586178e-05,0.001405745350242611,0.0015030046497573888,379.8,22.106441071373414,4.943150497618423,370.1114250246679,389.48857497533214,379.8,22.106441071373414,4.943150497618423,370.1114250246679,389.48857497533214,0.0,0.0,0.0,0.0,0.0,6.885800000000001,0.2835761941608231,0.06340956469442793,6.761517253198922,7.010082746801079
0.1,0.1,baseline1_hdv,20,0.95,0.46850316875000014,0.00018075324064868202,4.0417653324383114e-05,0.46842395014948435,0.46858238735051594,0.46724688749999943,0.00017946112639829313,4.012872779452654e-05,0.4671682351935222,0.4673255398064767,4.685031687499999,0.0018075324064852098,0.00040417653324347104,4.684239501494841,4.685823873505156,4.6841793233082685,0.0017991090365810476,0.0004022930104729378,4.683390829007742,4.684967817608795,5.025125,0.02210196168954955,0.00494214887739289,5.01543838820031,5.03481161179969,0.16247916666666665,0.0036836602815916047,0.0008236914795654845,0.1608647313667183,0.164093601966615,9.75e-06,3.3344296442767504e-06,7.456011350793256e-07,8.288621775244521e-06,1.1211378224755479e-05,0.001125,0.0006858532910485342,0.00015336145813764704,0.0008244115420502117,0.001425588457949788,0.0005601250000000001,6.084911775514044e-05,1.3606276367138343e-05,0.000533456698320409,0.0005867933016795912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,baseline2_matched,20,0.95,0.47049135000000025,0.00030299072202228386,6.775078509935692e-05,0.4703585584612055,0.470624141538795,0.46904181875000023,0.00030055866971212644,6.720696167032218e-05,0.4689100931051264,0.4691735443948741,4.7049135000000035,0.003029907220223133,0.000677507850993635,4.703585584612056,4.706241415387951,4.702173621553905,0.003013119495876317,0.0006737540017109342,4.700853063710552,4.703494179397259,5.798125000000001,0.029075616027324686,0.006501505392478038,5.785382049430743,5.810867950569258,0.03364583333333333,0.004845936004554107,0.0010835842320796715,0.031522008238457175,0.03576965842820949,1.6125e-05,5.544378376242677e-06,1.239760694225853e-06,1.3695069039317327e-05,1.855493096068267e-05,0.00015000000000000001,0.00032847334266589314,7.34488722997519e-05,6.040210292486295e-06,0.00029395978970751373,0.0014363124999999999,8.975338562005982e-05,2.0069467145720585e-05,0.0013969763443943874,0.0014756486556056123,440.05,18.844167043914343,4.213683848955373,431.79117965604746,448.30882034395256,440.05,18.844167043914343,4.213683848955373,431.79117965604746,448.30882034395256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,0.1,graph_ppo,20,0.95,0.4663803500000002,0.0004727618871839894,0.00010571277169144869,0.46617315296748496,0.4665875470325155,0.4649263812500002,0.0004841573602304891,0.00010826087692822267,0.4647141899312209,0.4651385725687795,4.663803500000001,0.004727618871839749,0.0010571277169144544,4.6617315296748485,4.665875470325154,4.660916102756882,0.00485370787199381,0.0010853220744704007,4.658788871490921,4.663043334022844,5.815875,0.07375240852445356,0.01649153989650131,5.7835515818028576,5.848198418197143,0.03068749999999999,0.012292068087408918,0.0027485899827502168,0.025300263633809564,0.036074736366190414,0.00035799999999999856,5.0136983408089915e-05,1.1210970308726812e-05,0.000336026498194894,0.00037997350180510314,5e-05,0.00022360679774997898,5e-05,-4.7999999999999994e-05,0.000148,0.0037805,0.00019398623119885818,4.337663996596374e-05,0.003695481785666711,0.003865518214333289,1188.55,61.256557114105625,13.697382577473851,1161.703130148151,1215.3968698518488,1188.55,61.256557114105625,13.697382577473851,1161.703130148151,1215.3968698518488,0.0,0.0,0.0,0.0,0.0,10.545925,0.24286097793853825,0.05430536557526482,10.439486483472482,10.652363516527519
0.15,0.15,baseline1_hdv,20,0.95,0.6841905187499998,0.0006125074654151511,0.00013696083293943793,0.6839220755174386,0.6844589619825611,0.6830036374999999,0.0006132629792703422,0.00013712977097325295,0.6827348631488923,0.6832724118511075,4.561270124999998,0.0040833831027675535,0.0009130722195962259,4.559480503449589,4.563059746550407,4.560959181969947,0.004095245270585826,0.0009157246809564427,4.559164361595273,4.562754002344621,4.747525,0.03130977441126346,0.007001078394376855,4.733802886347021,4.7612471136529795,0.20874583333333332,0.005218295735210591,0.0011668463990628123,0.20645881439117023,0.21103285227549642,0.0002547499999999995,2.3389812597225767e-05,5.230121094837772e-06,0.00024449896265411745,0.00026500103734588155,0.001675,0.0009770390284721971,0.00021847256843341852,0.0012467937658704998,0.0021032062341295003,0.009352208333333334,0.0001992675320821365,4.4557574744427744e-05,0.009264875486834256,0.009439541179832412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,baseline2_matched,20,0.95,0.6833428375,0.0007988273365696401,0.00017862322268548188,0.6829927359835365,0.6836929390164636,0.6819524187499998,0.0008008099582723147,0.00017906655037556657,0.6816014483112637,0.6823033891887359,4.555618916666668,0.005325515577131377,0.0011908214845699782,4.553284906556911,4.557952926776425,4.553939357262103,0.005347645798148222,0.0011957699524250541,4.55159564815535,4.556283066368857,5.561674999999999,0.03610156542749625,0.008072555439003787,5.545852791339552,5.577497208660446,0.07305416666666667,0.006016927571249383,0.001345425906500633,0.07041713188992543,0.07569120144340791,0.00029612500000000006,2.4205617430767984e-05,5.412540601255102e-06,0.00028551642042154007,0.00030673357957846005,0.00042500000000000003,0.0004375469899577103,9.78384812895858e-05,0.00023323657667241186,0.0006167634233275883,0.010768625,0.00025775178954688145,5.763505227490466e-05,0.010655660297541187,0.010881589702458814,884.55,30.5329416584087,6.8273733101237015,871.1683483121575,897.9316516878424,884.55,30.5329416584087,6.8273733101237015,871.1683483121575,897.9316516878424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15,0.15,graph_ppo,20,0.95,0.6731661874999999,0.0008942702263097066,0.0001999649016282625,0.6727742562928085,0.6735581187071913,0.6717577749999999,0.0009029658738888393,0.0002019093075377947,0.6713620327572258,0.672153517242774,4.487774583333334,0.005961801508735964,0.001333099344189442,4.4851617086187225,4.490387458047945,4.485861602671119,0.006029822196253173,0.0013483092323059171,4.483218916575799,4.488504288766439,5.63365,0.08407579600386911,0.018799919512705647,5.596802157755097,5.670497842244903,0.061058333333333346,0.014012632667311514,0.003133319918784274,0.05491702629251617,0.06719964037415052,0.0009830833333333401,7.164070317129154e-05,1.6019348224689264e-05,0.0009516854108129492,0.001014481255853731,0.00045000000000000004,0.0007416198487095663,0.00016583123951776998,0.00012497077054517087,0.0007750292294548293,0.013596416666666666,0.00024585973691094293,5.497590846630825e-05,0.013488663886072703,0.01370416944726063,2016.15,123.8918352519861,27.70305654806457,1961.8520091657936,2070.447990834207,2016.15,123.8918352519861,27.70305654806457,1961.8520091657936,2070.447990834207,0.0,0.0,0.0,0.0,0.0,13.622300000000001,0.3668308946410564,0.08202588166644653,13.461529271933765,13.783070728066237
0.2,0.2,baseline1_hdv,20,0.95,0.7861438562499996,0.0015469991724614582,0.0003459195310759741,0.7854658539690907,0.7868218585309085,0.7851432437500001,0.0015422984580412498,0.00034486841937733415,0.7844673016480206,0.7858191858519796,3.93071928125,0.007734995862306889,0.0017295976553797806,3.9273292698454556,3.9341092926545445,3.930629505632043,0.007721143719856109,0.0017265002221643851,3.9272455651966007,3.9340134460674854,4.0024500000000005,0.04473603869247631,0.010003282356043783,3.982843566582155,4.022056433417847,0.332925,0.007456006448746053,0.0016672137260072975,0.3296572610970257,0.33619273890297435,0.003744000000000019,0.00017214797700479222,3.84934578771786e-05,0.003668552822560749,0.003819447177439289,0.004875,0.002235332307804768,0.0004998354992552945,0.003895322421459623,0.005854677578540377,0.030484125,0.0001920159455755254,4.293607070707748e-05,0.030399970301414128,0.030568279698585873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
