requested_density,effective_density,density_index,run_index,mode,mode_category,model_preset,priority_vehicle_id,av_fraction,av_vehicle_count,scenario_seed,warmup_rng_seed,assignment_seed,av_selection_seed,measurement_rng_seed,backend_requested,warmup_backend,measurement_backend,num_lanes,road_length,warmup_steps,measure_steps,baseline1_reused_across_av_fractions,measurement_steps,vehicle_count,priority_vehicle_count,density,flow_all,flow_background,flow_priority,mean_speed_all,mean_speed_background,mean_speed_priority,worst_priority_mean_speed,mean_priority_time_loss,worst_priority_time_loss,stopped_fraction_all,stopped_fraction_background,stopped_fraction_priority,lane_change_rate_all,lane_change_rate_background,lane_change_rate_priority,completed_priority_laps,mean_priority_lap_time,rule_detections,rule_requests,rule_applied,rule_rejected,rule_blocked_no_safe_lane,rule_cooldown_suppressed,per_priority_vehicle,active_av_count_mean,active_av_count_max,policy_left_requests,policy_right_requests,policy_stay_actions
0.05,0.05,0,0,baseline1_hdv,control,,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference,4,1000,5,32,False,32,200,1,0.050000000000000024,0.24838281250000002,0.24702343749999994,0.0013593750000000006,4.96765625,4.965295226130653,5.4375,5.4375,0.09375,0.09375,0.0,0.0,0.0,0.0015625,0.001413316582914573,0.03125,0,,0,0,0,0,0,0,"{""62"":{""completed_laps"":0,""distance"":174.0,""mean_lap_time"":null,""mean_speed"":5.4375,""time_loss"":0.09375}}",0.0,0,,,
0.05,0.05,0,0,baseline2_matched,control,,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference;reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.24852343749999992,0.2470234374999999,0.0015000000000000007,4.9704687499999975,4.965295226130654,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.00109375,0.0010992462311557789,0.0,0,,2,2,2,0,0,0,"{""62"":{""completed_laps"":0,""distance"":192.0,""mean_lap_time"":null,""mean_speed"":6.0,""time_loss"":0.0}}",0.0,0,,,
0.05,0.05,0,0,noop,control,,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.2478671875,0.2464921875,0.0013750000000000006,4.95734375,4.954616834170853,5.5,5.5,0.08333333333333337,0.08333333333333337,0.0,0.0,0.0,0.00109375,0.0009422110552763819,0.03125,0,,0,0,0,0,0,0,"{""62"":{""completed_laps"":0,""distance"":176.0,""mean_lap_time"":null,""mean_speed"":5.5,""time_loss"":0.08333333333333337}}",8.4375,9,0,0,270
0.05,0.05,0,0,left_if_safe,control,,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.24740624999999994,0.24590624999999994,0.0015000000000000007,4.948125,4.942839195979899,6.0,6.0,0.0,0.0,0.00015625,0.000157035175879397,0.0,0.005,0.005025125628140704,0.0,0,,0,22,22,0,0,0,"{""62"":{""completed_laps"":0,""distance"":192.0,""mean_lap_time"":null,""mean_speed"":6.0,""time_loss"":0.0}}",7.65625,9,22,0,223
0.05,0.05,0,0,graph_ppo,learned,edge-graph,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.24740624999999994,0.24590624999999994,0.0015000000000000007,4.948125,4.942839195979899,6.0,6.0,0.0,0.0,0.00015625,0.000157035175879397,0.0,0.005,0.005025125628140704,0.0,0,,0,22,22,0,0,0,"{""62"":{""completed_laps"":0,""distance"":192.0,""mean_lap_time"":null,""mean_speed"":6.0,""time_loss"":0.0}}",7.65625,9,22,0,223
0.05,0.05,0,0,node_mlp_ppo,learned,node-mlp-matched,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.246171875,0.24490625000000002,0.0012656250000000005,4.9234375,4.922738693467335,5.0625,5.0625,0.15625,0.15625,0.0,0.0,0.0,0.005,0.004711055276381909,0.0625,0,,0,22,22,0,0,0,"{""62"":{""completed_laps"":0,""distance"":162.0,""mean_lap_time"":null,""mean_speed"":5.0625,""time_loss"":0.15625}}",8.03125,12,0,22,235
0.05,0.05,0,0,grid_cnn_ppo,learned,grid-cnn-matched,62,0.9,179,510012,510098,511001,512001,510194,reference,reference,reference+reference-override,4,1000,5,32,False,32,200,1,0.050000000000000024,0.24652343749999994,0.2450859375,0.0014375000000000006,4.93046875,4.926350502512562,5.75,5.75,0.04166666666666663,0.04166666666666663,0.0,0.0,0.0,0.00671875,0.00675251256281407,0.0,0,,0,37,37,0,0,0,"{""62"":{""completed_laps"":0,""distance"":184.0,""mean_lap_time"":null,""mean_speed"":5.75,""time_loss"":0.04166666666666663}}",7.6875,10,12,25,209
