requested_density,av_fraction,treatment_mode,comparison_mode,runs,pv_speed_win_rate,pv_speed_tie_rate,pv_speed_delta_valid_runs,pv_speed_delta_mean,pv_speed_delta_std,pv_speed_delta_ci_low,pv_speed_delta_ci_high,pv_speed_ratio_valid_runs,pv_speed_ratio_mean,pv_speed_ratio_std,pv_speed_ratio_ci_low,pv_speed_ratio_ci_high,priority_time_loss_delta_valid_runs,priority_time_loss_delta_mean,priority_time_loss_delta_std,priority_time_loss_delta_ci_low,priority_time_loss_delta_ci_high,background_flow_delta_valid_runs,background_flow_delta_mean,background_flow_delta_std,background_flow_delta_ci_low,background_flow_delta_ci_high,background_flow_ratio_valid_runs,background_flow_ratio_mean,background_flow_ratio_std,background_flow_ratio_ci_low,background_flow_ratio_ci_high,all_speed_delta_valid_runs,all_speed_delta_mean,all_speed_delta_std,all_speed_delta_ci_low,all_speed_delta_ci_high,priority_stopped_delta_valid_runs,priority_stopped_delta_mean,priority_stopped_delta_std,priority_stopped_delta_ci_low,priority_stopped_delta_ci_high,completed_priority_laps_delta_valid_runs,completed_priority_laps_delta_mean,completed_priority_laps_delta_std,completed_priority_laps_delta_ci_low,completed_priority_laps_delta_ci_high,priority_lap_time_delta_valid_runs,priority_lap_time_delta_mean,priority_lap_time_delta_std,priority_lap_time_delta_ci_low,priority_lap_time_delta_ci_high,pv_speed_advantage
0.05,0.9,grid_cnn_ppo,noop,1,1.0,0.0,1,0.25,0.0,0.25,0.25,1,1.0454545454545454,0.0,1.0454545454545454,1.0454545454545454,1,-0.04166666666666674,0.0,-0.04166666666666674,-0.04166666666666674,1,-0.0014062499999999978,0.0,-0.0014062499999999978,-0.0014062499999999978,1,0.994294951031663,0.0,0.994294951031663,0.994294951031663,1,-0.026874999999999538,0.0,-0.026874999999999538,-0.026874999999999538,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,left_if_safe,baseline1_hdv,1,1.0,0.0,1,0.5625,0.0,0.5625,0.5625,1,1.103448275862069,0.0,1.103448275862069,1.103448275862069,1,-0.09375,0.0,-0.09375,-0.09375,1,-0.0011171875000000053,0.0,-0.0011171875000000053,-0.0011171875000000053,1,0.9954774028274139,0.0,0.9954774028274139,0.9954774028274139,1,-0.01953125,0.0,-0.01953125,-0.01953125,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,left_if_safe,baseline2_matched,1,0.0,1.0,1,0.0,0.0,0.0,0.0,1,1.0,0.0,1.0,1.0,1,0.0,0.0,0.0,0.0,1,-0.0011171874999999498,0.0,-0.0011171874999999498,-0.0011171874999999498,1,0.9954774028274141,0.0,0.9954774028274141,0.9954774028274141,1,-0.022343749999997442,0.0,-0.022343749999997442,-0.022343749999997442,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,left_if_safe,noop,1,1.0,0.0,1,0.5,0.0,0.5,0.5,1,1.0909090909090908,0.0,1.0909090909090908,1.0909090909090908,1,-0.08333333333333337,0.0,-0.08333333333333337,-0.08333333333333337,1,-0.00058593750000005,0.0,-0.00058593750000005,-0.00058593750000005,1,0.9976228962631927,0.0,0.9976228962631927,0.9976228962631927,1,-0.00921874999999961,0.0,-0.00921874999999961,-0.00921874999999961,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,node_mlp_ppo,baseline1_hdv,1,0.0,0.0,1,-0.375,0.0,-0.375,-0.375,1,0.9310344827586207,0.0,0.9310344827586207,0.9310344827586207,1,0.0625,0.0,0.0625,0.0625,1,-0.002117187499999923,0.0,-0.002117187499999923,-0.002117187499999923,1,0.9914292039596448,0.0,0.9914292039596448,0.9914292039596448,1,-0.04421874999999975,0.0,-0.04421874999999975,-0.04421874999999975,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,node_mlp_ppo,baseline2_matched,1,0.0,0.0,1,-0.9375,0.0,-0.9375,-0.9375,1,0.84375,0.0,0.84375,0.84375,1,0.15625,0.0,0.15625,0.15625,1,-0.0021171874999998674,0.0,-0.0021171874999998674,-0.0021171874999998674,1,0.9914292039596451,0.0,0.9914292039596451,0.9914292039596451,1,-0.04703124999999719,0.0,-0.04703124999999719,-0.04703124999999719,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,node_mlp_ppo,grid_cnn_ppo,1,0.0,0.0,1,-0.6875,0.0,-0.6875,-0.6875,1,0.8804347826086957,0.0,0.8804347826086957,0.8804347826086957,1,0.11458333333333337,0.0,0.11458333333333337,0.11458333333333337,1,-0.0001796874999999698,0.0,-0.0001796874999999698,-0.0001796874999999698,1,0.9992668388001659,0.0,0.9992668388001659,0.9992668388001659,1,-0.007031249999999822,0.0,-0.007031249999999822,-0.007031249999999822,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,node_mlp_ppo,left_if_safe,1,0.0,0.0,1,-0.9375,0.0,-0.9375,-0.9375,1,0.84375,0.0,0.84375,0.84375,1,0.15625,0.0,0.15625,0.15625,1,-0.0009999999999999176,0.0,-0.0009999999999999176,-0.0009999999999999176,1,0.995933409581904,0.0,0.995933409581904,0.995933409581904,1,-0.02468749999999975,0.0,-0.02468749999999975,-0.02468749999999975,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,node_mlp_ppo,noop,1,0.0,0.0,1,-0.4375,0.0,-0.4375,-0.4375,1,0.9204545454545454,0.0,0.9204545454545454,0.9204545454545454,1,0.07291666666666663,0.0,0.07291666666666663,0.07291666666666663,1,-0.0015859374999999676,0.0,-0.0015859374999999676,-0.0015859374999999676,1,0.9935659725523757,0.0,0.9935659725523757,0.9935659725523757,1,-0.03390624999999936,0.0,-0.03390624999999936,-0.03390624999999936,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
0.05,0.9,noop,baseline1_hdv,1,1.0,0.0,1,0.0625,0.0,0.0625,0.0625,1,1.0114942528735633,0.0,1.0114942528735633,1.0114942528735633,1,-0.01041666666666663,0.0,-0.01041666666666663,-0.01041666666666663,1,-0.0005312499999999554,0.0,-0.0005312499999999554,-0.0005312499999999554,1,0.9978493943514977,0.0,0.9978493943514977,0.9978493943514977,1,-0.01031250000000039,0.0,-0.01031250000000039,-0.01031250000000039,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,True
0.05,0.9,noop,baseline2_matched,1,0.0,0.0,1,-0.5,0.0,-0.5,-0.5,1,0.9166666666666666,0.0,0.9166666666666666,0.9166666666666666,1,0.08333333333333337,0.0,0.08333333333333337,0.08333333333333337,1,-0.0005312499999998999,0.0,-0.0005312499999998999,-0.0005312499999998999,1,0.9978493943514979,0.0,0.9978493943514979,0.9978493943514979,1,-0.013124999999997833,0.0,-0.013124999999997833,-0.013124999999997833,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,,,,,False
